neonVariable,neonVariableDescriptor,targetLipid,targetGroup,targetGroupBroad,Citation,Notes,Citation2
cis18To2n912ScaledConcentration,"cis,cis-9,12-octadecadienoic acid, or linoleic acid, or 18To2-omega-6, methyl ester, cis18:2n9-12","18:2 ω6,9c",general fungi minus AMF,general fungi minus AMF,Docherty et al. 2015 https://doi.org/10.1371/journal.pone.0135352,,Docherty et al. 2015 https://doi.org/10.1371/journal.pone.0135352
c16To1Cis11ScaledConcentration,"methyl cis-11-hexadecenoate, 16:1 cis 11",16:1 w5c (11-Hexadecenoic acid) ,arbuscular mycorrhizae,arbuscular mycorrhizae,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,UNCERTAIN,Docherty et al. 2015 https://doi.org/10.1371/journal.pone.0135352
cis16To1n9ScaledConcentration,"methyl hexadecenoic acid, or palmitoleic acid, methyl ester, c16:1n9",16:1 w7c,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,UNCERTAIN,Docherty et al. 2015 https://doi.org/10.1371/journal.pone.0135352
i15To0ScaledConcentration,"13-methyltetradecanoic acid methyl ester, i15:0",i15:0,Firmicutes,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,Giray 2024 https://doi.org/10.1016/j.apsoil.2024.105277
c17To0AnteisoScaledConcentration,"methyl 14-methyl-pentadecanoate, 17:0 anteiso",a17:0 ,Firmicutes,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,Giray 2024 https://doi.org/10.1016/j.apsoil.2024.105277
lipid10Methyl18To0ScaledConcentration,"tuberculostearic acid methyl ester, 10 Me-18:0",10 Me-18:0,Actinobacteria,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,Giray 2024 https://doi.org/10.1016/j.apsoil.2024.105277
lipid10Methyl16To0ScaledConcentration,"methyl 10-methyl-hexadecanoate, 10 Me-16:0",10 Me-16:0,Actinobacteria,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,Giray 2024 https://doi.org/10.1016/j.apsoil.2024.105277
cyclo17To0ScaledConcentration,"C17To0 fatty acid methyl cis-9,10-methylenehexadecanoate, cyclo17:0",cyclopropyl fatty acids,Anaerobic bacteria,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,Docherty et al. 2015 https://doi.org/10.1371/journal.pone.0135352
cyclo19To0ScaledConcentration,"C19To0 fatty acid methyl cis-9,10-methyleneoctadecanoate, cyclo19:0",cyclopropyl fatty acids,Anaerobic bacteria,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,Docherty et al. 2015 https://doi.org/10.1371/journal.pone.0135352
c18To3n6ScaledConcentration,"6,9,12-octadecatrienoic acid, or gamma-linolenic acid, methyl ester, c18:3n6,","18:1ω9, 18:2ω6,9, and 18:3ω3,6,9",saprotrophic and ectomycorrhizal fungi,,Giray 2024 https://doi.org/10.1016/j.apsoil.2024.105277,,
c18To3n3ScaledConcentration,"cis,cis,cis-9,12,15-octadecatrienoic acid, or alpha-linolenic acid, methyl ester, c18:3n3","18:1ω9, 18:2ω6,9, and 18:3ω3,6,9",saprotrophic and ectomycorrhizal fungi,,Giray 2024 https://doi.org/10.1016/j.apsoil.2024.105277,,
totalLipidScaledConcentration,,total microbial biomass,,,,,
c14To0ScaledConcentration,"tetradecanoic acid, or myristic acid, methyl ester, c14:0",14:0,,Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
c15To0ScaledConcentration,"pentadecanoic acid methyl ester, c15:0",15:0,,Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
c16To0ScaledConcentration,"hexadecanoic acid, or palmitic acid, methyl ester, c16:0",16:0,,Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
c17To0ScaledConcentration,"heptadecanoic acid methyl ester, c17:0",17:0,,Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
